Article Title,Publication Year,Document Type
Magnetic Positive Positioning: Toward the application in space propulsion,2021,Article
Axisymmetric Ferrofluid Oscillations in a Cylindrical Tank in Microgravity,2021,Article
Dynamics of fluid-filled space multibody systems considering the microgravity effects,2020,Article
Low-gravity slosh analysis for cylindrical tanks with hemiellipsoidal top and bottom,2008,Article
Space Lander Descent Control System Design Considering Fuel Sloshing Under Microgravity,2022,Proceedings Paper
Three dimensional critical wetting experiment in commercial zero-gravity space flight,2011,Dissertation/Thesis
Numerical Simulation of Pitching Sloshing under Microgravity,2019,Article
Composite equivalent mechanical models for large-amplitude liquid sloshing in axisymmetrical tanks,2020,Article
DROPWISE CONDENSATION ON SURFACES WITH GRADED HYDROPHOBICITY,2009,Proceedings Paper
Capillary surfaces in an exotic container: results from Space experiments,1999,Article
Flexible Assemblies of Electrocapacitive Volume Tomographic Sensors for Gauging Fuel of Spacecraft,2021,Article
StELIUM: A student experiment to investigate the sloshing of magnetic liquids in microgravity,2020,Article
Study on the instability of FC-72 vapor-liquid interface in a rectangular channel under different gravity conditions,2024,Article
Static analysis and contact angle hysteresis study of bubbles in Chinese space station tank models under different gravity effects,2024,Article
Wettability of Solid-Liquid Interface under Microgravity (Dynamic Behavior of Interface in Space),1989,Awarded Grant
Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition,2018,Proceedings Paper
Measurement of critical contact angle in a microgravity space experiment,2000,Article
The study on the mechanism of liquid surface in interior corner and the applicability of Surface Evolver,2012,Article
Computational design approach to propellant settling,2003,Article; Proceedings Paper
The modeling and simulation on dynamics of the liquid-filled satellite with flexible appendages挠性充液卫星的动力学建模与仿真,2002,Dissertation/Thesis
Sloshing in microgravity,1999,Article; Proceedings Paper
Contact angle hysteresis generated by the residual gravitational field of the Space Shuttle,2000,Article
Study of Capillary Driven Flow in an Interior Corner of Rounded Wall Under Microgravity,2015,Article
An experimental investigation of slat-screens to mitigate fluid sloshing in microgravity,2022,Article
Dynamic analysis of large-scale amplitude liquid sloshing in the spacecraft,2019,Article
Static profiles of capillary surfaces in the annular space between two coaxial cones under microgravity,2024,Article
Spreading of a pendant liquid drop underneath a textured substrate,2018,Article
Impact of hybrid surfaces on the droplet breakup dynamics in microgravity slug flow: A dynamic contact angle analysis,2023,Article
Three-dimensional numerical simulation of liquid forced sloshing in spherical container of spacecraft,2010,Dissertation/Thesis
Study on Liquid Climbing Behavior During Filling Process in Tank Models Aboard the Chinese Space Station,2024,Article
On cylindrical container sections for a capillary free-surface experiment,1996,Article
Influence of gravitational tilt on the thermocapillary convection in a non-axisymmetric liquid bridge,2024,Article
Three-dimensional modal analysis of sloshing under surface tension,2011,Article
Simulation of the Microgravity Effect on Wettability of Solids with Different Liquids,2017,Article
Bubble generation mechanisms in microchannel under microgravity and heterogeneous wettability,2024,Article
EXPERIMENTAL AND NUMERICAL INVESTIGATION OF REDUCED GRAVITY SLOSH DYNAMICS FOR THE CHARACTERIZATION OF CRYOGENIC LAUNCH AND SPACE VEHICLE PROPELLANTS,2012,Proceedings Paper
Controlling a Free Surface With Thermocapillary Flows and Vibrations in Microgravity,2024,Article
Capillary Phenomena in Tubes Under Microgravity,2023,Article
Investigation of bubble structure in a microchannel under microgravity conditions: Effects of discontinuous wettability with dynamic contact angle,2022,Article
Modification of wetting property of polycarbonate by means of ion beam implantation and storage in different gas environments,1998,Proceedings Paper
The static bubble point pressure model for cryogenic screen channel liquid acquisition devices,2016,Review
Lattice Boltzmann simulation of flow in porous media,2004,Dissertation/Thesis
Development of new methodologies for the study of surface tension and contact angle of drops in an electric field,2005,Dissertation/Thesis
Determining Liquid Volume by Using Helmholtz Resonance Measurement Method Based on Electrical Impedance of Loudspeaker,2005,Article
A study of capillary flow in variable interior corners under microgravity,2014,Article
Research on Melt Wettability Measurements Under Microgravity,2021,Article
Computational and analytical studies of liquid dynamics in weightlessness,1995,Dissertation/Thesis
Numerical Study of the Filling Process of a Liquid Hydrogen Storage Tank under Different Sloshing Conditions,2020,Article
Design and Validation of a Device for Mitigating Fluid Microgravity Effects in Biological Research in Canister Spaceflight Hardware,2021,Article
Sloshing reduction in microgravity: Thermocapillary-based control and passive baffles,2023,Article
Sloshing mitigation in microgravity with moving baffles,2024,Article
ISS Microgravity Experiments on Flat and Perforated Capillary Plates,2021,Dissertation/Thesis
Liquid-gas interfacial configurations in angular pores under microgravity,2004,Proceedings Paper
Mechanical Models of Low-Gravity Sloshing Taking Into Account Viscous Damping,2014,Article
Capillary-wave scattering from an infinitesimal barrier and dissipation at dynamic contact lines,2013,Article
Modification of the wettability of plexiglas and carbon by means of ion beam implantation: Application to fluid management and materials processing in microgravity.,1996,Proceedings Paper
Thermal Behavior Analysis of Wire Mini Heat Pipe,2011,Article
Influence of Surface Wettability on Drop Dynamics and Condensation,2020,Dissertation/Thesis
MATHEMATICAL MODELING OF DYNAMIC PROCESSES IN FEEDING SYSTEM OF SPACE STAGE MAIN ENGINE OF LAUNCH VEHICLE AT ACTIVE AND PASSIVE FLIGHT,2020,Article
A new experiment for investigating evaporation and condensation of cryogenic propellants,2016,Article; Proceedings Paper
Physical processes that control droplet transport in rock fracture systems,2008,Dissertation/Thesis
Propellant Slosh Force and Mass Measurement,2018,Article
CSI DUE TO SLOSHING MOTION ON LEO LSS,2012,Proceedings Paper
Bubble spreading during the boiling crisis: modelling and experimenting in microgravity,2006,Article; Proceedings Paper
Mathematical Modeling of Rivulet Flow Driven by Variable Gravity and Gas Flow in a Minichannel,2008,Proceedings Paper
Mastering Cryogenic Propellants,2013,Article
Capillary driven flows in microgravity,2024,preprint
Dynamic Behaviors of Liquid in Partially Filled Tank in Short-term Microgravity,2018,Article
Validation of a Compression Mass Gauge using ground tests for liquid propellant mass measurements,2014,Article
The ?Thermocapillary-based control of a free surface in microgravity?experiment,2023,Article
Applications of magnetic fields to control fluids in reduced gravity,2007,Dissertation/Thesis
Experimental studies on the parametrization of liquid spreading and dynamic contact angles,1996,Article; Proceedings Paper
Capillarity: Draining and Surface Vibrations,2021,Dissertation/Thesis
ISS: Inertial Spreading and Imbibition of a Liquid Drop Through a Porous Surface,2016,Awarded Grant
The Attitude Dynamics and Control of the Liquid-Filled Spacecraft with Complex Structures充液复杂结构航天器姿态动力学与控制,2006,Dissertation/Thesis
Bubble spreading during the boiling crisis: modelling and experimenting in microgravity,2016,preprint
Effect of sloshing on the mechanics of dewar systems in low-gravity,2001,Article
Mathematical Modeling of Transport of CO2 and Nano-Particle-Based Sealants in Cement Cracks in CO2-Storage Wells,2023,Dissertation/Thesis
Development of operations manual and restoration of cryogenic system for magnetic levitation,2016,Dissertation/Thesis
Plane front dynamics and pattern formation in diffusion controlled directional solidification of alloys,2004,Dissertation/Thesis
Water Electrolysis Propulsion: Systems Architecture and Technology Development,2019,Dissertation/Thesis
Flow rate limitation in curved open capillary groove channels,2019,Article
Thermocapillary-driven dynamics of a free surface in microgravity: Control of sloshing,2022,Article
Verification and Validation of Transient Body Force in GOTHIC for Spent Fuel Pool Response to Seismic Events and Other Applications,2022,Article
Hydrodynamics of Interfacially Driven Bioreactors,2023,Dissertation/Thesis
"Capillary Phenomena: Investigations in Compressed Bubble Migration, Geometric Wetting, and Blade-Bound Droplet Stability",2012,Dissertation/Thesis
Confinement and Non-Newtonian Effects for Steady Streaming Flow and the Ice Fishing Problem with Surface Tension,2022,Dissertation/Thesis
ISA accelerometer onboard the Mercury Planetary Orbiter: Error budget,2007,Article