"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysis of liquid fuel sloshing on free-floating robot dynamics under low-gravity condition","W. Rackl; J. Gerstmann; R. Lampariello","Robotics and Mechantronics Center (DLR), Germany; Institute of Space Systems (DLR), Bremen, Germany; Robotics and Mechantronics Center (DLR), Germany",2018 IEEE Aerospace Conference,"28 Jun 2018","2018","","","1","12","This paper analyses the impact of liquid fuel sloshing on the dynamics of a free-flying space robot, subject to low-gravity conditions. To date, no research and investigations were made to combine liquid fuel sloshing with free-floating robot dynamics. Thus, typical robotic motions for such a mission were analyzed and simulated first as rigid body motions. The satellite motion which results from the reaction to the robotic dynamic coupling was used as input for a dedicated computational fluid dynamics analysis (CFD). For slow motions, the results show relevant influence to the free-floating robot dynamics. However high dynamic motions, as they are needed for example for on-orbit dynamic identification, show a significant influence. Free-floating robot simulations with worst case configurations obtained from the CFD analysis showed a significant influence on the performance. Additionally a pendulum and a spring-mass model as equivalent mechanical model (EMM) were used for comparison with the CFD results. A nonlinear parameter identification was carried out to match the EMM models to obtain the same sloshing characteristics as the CFD results.","","978-1-5386-2014-4","10.1109/AERO.2018.8396687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8396687","","Robots;Liquids;Fuels;Dynamics;Satellites;Numerical models;Gravity","","2","","18","IEEE","28 Jun 2018","","","IEEE","IEEE Conferences"
"A Radio-Frequency-Based Propellant Slosh Sensor for Spacecraft Tanks","D. Sommer; N. Moline; E. A. Rojas-Nastrucci","Department of Electrical, Computer, Software, and Systems Engineering, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; Department of Electrical, Computer, Software, and Systems Engineering, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; Department of Electrical, Computer, Software, and Systems Engineering, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA",2021 IEEE Radio and Wireless Symposium (RWS),"23 Feb 2021","2021","","","67","69","Fuel sloshing is a problem that has threatened the success of many satellites and has been widely studied in the field of controls. Currently, leading research in this topic has focused on Computational Fluid Dynamics (CFD) simulations to devise methods of predictively controlling the location of fuel within a spacecraft's tank. In this paper, a Radio Frequency (RF)-based mechanism to measure the location and quantity of fuel in spacecraft tanks is presented. By treating the tank as a resonating cavity, movement of the fuel inside produces a shift in resonant frequency and a change in the quality factor for the different cavity resonating modes. This results from the differing dielectric properties for the volume of air, gas, or vacuum, compared to the volume of liquid propellant. It is shown that as a sphere of distilled water is moved linearly across the resonating cavity, and the S-parameters response of the cavity is strongly correlated with the position of the sphere. Exploiting this can attain the capability to measure both location and quantity of propellant contained within a tank in microgravity environments in real time while in flight.","2164-2974","978-1-7281-8062-5","10.1109/RWS50353.2021.9360361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9360361","fuel sloshing;microgravity;propellant;resonant cavity;resonant modes;spacecraft;instrumentation;sensors","Space vehicles;Wireless communication;Wireless sensor networks;Computational fluid dynamics;Propulsion;Time measurement;Fuels","","","","7","IEEE","23 Feb 2021","","","IEEE","IEEE Conferences"
"Observer-based Sliding Mode Attitude Controller Design for Spacecraft with Fuel Slosh","T. Yu; L. Qian","Advanced Launching Co-innovation Center, Nanjing University of Science and Technology, Nanjing, China; Advanced Launching Co-innovation Center, Nanjing University of Science and Technology, Nanjing, China",2018 IEEE 4th Information Technology and Mechatronics Engineering Conference (ITOEC),"21 Jun 2019","2018","","","705","710","For a kind of spacecraft with fuel slosh, a controller is designed to make the spacecraft system asymptotically stable, to suppress the fuel slosh while controlling the spacecraft attitude. An existing system model is adopted to analyze and verify the system characteristics. By considering the underactuated characteristic of the system, the system is transformed into a certain normalized form. A sliding mode control approach is proposed to design the controller. In addition, an observer is designed in considering that the displacement of the fuel slosh is unable to be measured in reality. By measuring the state of the velocity and attitude of the spacecraft, the estimated value of the sloshing displacement is close to the true value within a certain error range, and the estimated value is used to replace the sloshing displacement in the control law. A Simulation example illustrate the effectiveness of the observer and controller.","","978-1-5386-5373-9","10.1109/ITOEC.2018.8740456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8740456","spacecraft with fuel slosh;mass-spring model;state observer;attitude control;sliding-mode control","Space vehicles;Fuels;Liquids;Observers;Mathematical model;Attitude control;Sliding mode control","","2","","9","IEEE","21 Jun 2019","","","IEEE","IEEE Conferences"
"Space Lander Descent Control System Design Considering Fuel Sloshing Under Microgravity","Y. Tanaka; M. Baba; M. Otsuki; K. Fujita; T. Himeno; T. Maeda; M. Takahashi","School of Science for Open and Environmental Sytems, Keio University, Kanagawa, Japan; Japan Aerospace Exploration Agency, Kanagawa, Japan; Japan Aerospace Exploration Agency, Kanagawa, Japan; Japan Aerospace Exploration Agency, Kanagawa, Japan; Department of Aeronautics and Astronautics, University of Tokyo, Tokyo, Japan; Department of Mechanical Systems Engineering, Tokyo University of Agriculture and Technology, Tokyo, Japan; Department of System Design Engineering, Keio Univerisity, Kanagawa, Japan",2022 IEEE 61st Conference on Decision and Control (CDC),"10 Jan 2023","2022","","","3092","3097","This study proposes a descent control system for a space lander with a large amount of fuel, to protect the lander from overturning when landing on microgravity objects. As sloshing is a major problem during descent, it is desirable to construct a control system that considers the sloshing dynamics. We derive a model of the lander considering fuel dynamics, determine the fuel-optimal trajectory for guidance, design a fuel state estimator for navigation, and design a tracking controller. The effectiveness of the proposed method is evaluated using a physical simulator. The proposed method achieves simultaneous stabilization of the lander and fuel, and is shown to be effective in preventing overturning.","2576-2370","978-1-6654-6761-2","10.1109/CDC51059.2022.9992643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9992643","","Adaptation models;Monte Carlo methods;Navigation;Aerospace electronics;Control systems;Trajectory;Fuels","","","","26","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Nonlinear control of space vehicles with multi-mass fuel slosh dynamics","M. Reyhanoglu; J. R. Hervas","Physical Sciences Department, Embrey-Riddle Aeronautical University, Daytona Beach, FL, USA; Physical Sciences Department, Embrey-Riddle Aeronautical University, Daytona Beach, FL, USA",Proceedings of 5th International Conference on Recent Advances in Space Technologies - RAST2011,"28 Jul 2011","2011","","","247","252","This paper studies the maneuvering control problem for space vehicles with fuel slosh dynamics in a zero gravity environment. Multi-mass-spring models are considered for the characterization of the most prominent sloshing modes. The control objective, as is typical for spacecraft maneuvering problems, is to control the translational velocity vector and the attitude of the spacecraft, while attenuating the sloshing modes characterizing the internal dynamics. Subsequently, a nonlinear mathematical model that reflects all of these assumptions is derived. Finally, a Lyapunov-based nonlinear feedback controller is designed to achieve this control objective. A simulation example is included to illustrate the effectiveness of the controller.","","978-1-4244-9616-7","10.1109/RAST.2011.5966834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5966834","Nonlinear control;fuel slosh;underactuated system","Propulsion","","16","","23","IEEE","28 Jul 2011","","","IEEE","IEEE Conferences"
"Dynamics and Control of Mass-Variable Liquid-Filled Spacecraft With Combined Nonlinear Slosh","F. Liu; B. Yue; B. Ma","Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China",IEEE Transactions on Aerospace and Electronic Systems,"10 Jun 2024","2024","60","3","3509","3522","This article focuses on the dynamics and control of liquid-filled spacecraft with nonlinear slosh in multitank, wherein the effect of liquid propellant consumption is considered. An improved parameter-variable three degree of freedom (3DOF)-rigid-pendulum slosh model is adopted to equivalently simulate the nonlinear slosh, including large-amplitude lateral sloshing and rotary sloshing, in partially filled spherical tanks. First, the translation-rotation dynamics of a spacecraft with combined slosh in 2-tank is derived by using the Lagrangian formulation. Second, the dynamic responses of the spacecraft coupled with combined nonlinear slosh are simulated by giving large-angle attitude maneuvering cases and zero-impulse translation maneuvering cases. Third, a wave-based attitude controller of the liquid-filled spacecraft is designed. It is found that the combined propellant slosh can disturb the rigid-body motion (translation and rotation) of spacecraft with obvious jitter in certain directions, that the propellant consumption is likely to cause the nonconvergence of the translation motion of spacecraft during zero-momentum maneuvering, and that the jitter disturbance of propellant slosh on the attitude motion of spacecraft can be absorbed by using the designed wave-based","1557-9603","","10.1109/TAES.2024.3363111","China Postdoctoral Science Foundation(grant numbers:2023M730243); National Natural Science Foundation of China(grant numbers:12132002,12202044); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423136","","Space vehicles;Liquids;Propulsion;Attitude control;Mathematical models;Aerodynamics;Aerospace and electronic systems","","","","19","IEEE","6 Feb 2024","","","IEEE","IEEE Journals"
"Milliliter-to-microliter platform for on-demand loading of aqueous and non-aqueous droplets to digital microfluidics","G. J. Shah; H. . -J. Ding; S. Sadeghi; S. Chen; C. . -J. Kim; R. M. van Dam","Department of Molecular & Medical Pharmacology, Crump Institute of Biological Imaging, USA; Department of Molecular & Medical Pharmacology, Crump Institute of Biological Imaging, USA; Department of Molecular & Medical Pharmacology, Crump Institute of Biological Imaging, USA; University of California Los Angeles, Los Angeles, CA, US; Mechanical and AeroSpace Engineering Department, UCLA, Los Angeles, CA, USA; University of California Los Angeles, Los Angeles, CA, US","2011 16th International Solid-State Sensors, Actuators and Microsystems Conference","1 Aug 2011","2011","","","1260","1263","We describe a world-to-chip interface for automated, on-demand loading of ~1μL droplets from a large (~1mL demonstrated) off-chip reservoir. Utilizing a combination of compressed inert gas and gravity to exert forces on the liquid, the technique employed is simple and robust, requiring no carrier fluid. Another key feature from a practical point-of-view is that all of the wetted parts are inexpensive and potentially disposable, thus avoiding cross-contamination in chemical and biochemical applications. The proof-of-concept and versatility of the platform are demonstrated with the loading of several aqueous and non-aqueous liquids on an electrowetting-on-dielectric microfluidic device.","2164-1641","978-1-4577-0156-6","10.1109/TRANSDUCERS.2011.5969429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5969429","World-to-chip interface;digital microfluidics;on-demand loading;electrowetting-on-dielectric (EWOD)","Loading;Reservoirs;Liquids;Microfluidics;Electron tubes;Gravity","","3","1","8","IEEE","1 Aug 2011","","","IEEE","IEEE Conferences"
"Thrust-vector control of a three-axis stabilized spacecraft with fuel slosh dynamics","J. Rubio Hervas; M. Reyhanoglu; H. Tang","Physical Sciences Department, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; Physical Sciences Department, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore","2013 13th International Conference on Control, Automation and Systems (ICCAS 2013)","9 Jan 2014","2013","","","761","766","The thrust vector control problem is studied for an upper-stage rocket with fuel slosh dynamics. The sloshing propellant is modeled as a multi-mass-spring system. The coupled equations of motion of the spacecraft and the fuel are expressed in terms of the three dimensional spacecraft translational velocity vector, the attitude, the angular velocity, and the internal coordinates representing the slosh modes. A Lyapunov-based nonlinear feedback control law is proposed to control the translational velocity vector and the attitude of the spacecraft, while attenuating the sloshing modes. A simulation example is included to illustrate the effectiveness of the control law.","2093-7121","978-89-93215-05-2","10.1109/ICCAS.2013.6704015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6704015","Slosh dynamics;Lyapunov methods","Propulsion","","","","12","IEEE","9 Jan 2014","","","IEEE","IEEE Conferences"
"Numerical Modeling of Liquid Propellant Mass Transfer with Sloshing during On-Orbit Refueling","R. Sah; R. Srivastava; R. Lima; V. Vatsal; K. Das","TCS Research, TATA Consultancy Services, Bangalore, India; TCS Research, TATA Consultancy Services, Bangalore, India; TCS Research, TATA Consultancy Services, Bangalore, India; TCS Research, TATA Consultancy Services, Bangalore, India; TCS Research, TATA Consultancy Services, Bangalore, India",2024 IEEE Aerospace Conference,"13 May 2024","2024","","","1","14","Over a couple of decades, an On-Orbit Refueling (OOR) application has been continuously developed to prolong the life span of the satellite whose end of life (EOL) has reached. It can reduce the cost of space applications by extending the life span of large satellites like communication satellites, which have been used for critical missions. During the OOR mission, the liquid propellant like unsymmetrical dimethyl hydrazine (UDMH) is partially filled in a propellant tank, which can slosh and produce non-cooperative couple motion between the chaser-target satellite, which results in non-cooperative activity and leads to divergence in a coupled attitude of the satellite. A non-linear dynamic modeling of the liquid propellant mass transfer with sloshing was developed in this paper to simulate the on-orbit non-cooperative and inertial movement of the liquid propellant in the cylindrical propellant tank during refueling after proximity and docking of the chaser-target satellite, a fuel injector connected with the target satellite are modeled by using the time-varying spring mass damper system in the in-track motion of satellites, which is coequal to the motion of the propellant mass center, Whereas, time-varying pendulum model is used in the radial direction of the coupled satellite. During sloshing, a coequal propellant elliptical cylinder is developed to model the inertia of dispersed liquid propellants. Multiple scenarios of on-orbit propagation of coupled satellites are designed to provide the orbital disturbance to the propellant tank. In contrast, computational fluid dynamics simulations were carried out to observe the liquid propellant dynamics behavior in micro-gravity in the propellant tanks and to verify the proposed non-linear dynamics model, as CFD simulation has no limitation on gravitational acceleration and can be applied to realistic flight sloshing tank models. A three-dimensional on-orbit sloshing behavior of the liquid propellant in micro-gravity is analyzed theoretically and numerically using the CFD. This paper provides the results of the propellant phase contour of the chaser and target spacecraft along the axial and radial direction throughout the refueling time. Various plots of propellant mass center (MC) and moment of inertia were sketched from the OpenFOAM CFD and compared with the results of a proposed coequal dynamic model. It was found that the suggested dynamic modeling accurately determines the sloshing behaviors along with the mass transfer motion during the onorbit refueling with fewer computation resources, and deviation in the sloshing parameters between the methods is less than ten percent.","1095-323X","979-8-3503-0462-6","10.1109/AERO58975.2024.10521091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10521091","","Space vehicles;Satellites;Liquids;Computational modeling;Computational fluid dynamics;Propulsion;Aerodynamics","","","","39","IEEE","13 May 2024","","","IEEE","IEEE Conferences"
"Electrochemical Tilt Sensors With Symmetric Concentric Electrode Pairs","Y. K. Cheung; H. Yu","Department of Mechanical and Aerospace Engineering, Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Mechanical and Aerospace Engineering, Hong Kong University of Science and Technology, Hong Kong, SAR, China",IEEE Sensors Journal,"1 Oct 2021","2021","21","19","21322","21329","This paper presented the principle, design, fabrication, and characterization of Molecular Electronic Transducer (MET) single-axis tilt sensors. The proposed sensor has a circular channel deposited with symmetric concentric electrode pairs and half-filled with a liquid electrolyte. Such inclination-dependent liquid level is detected by the differential current from the electrochemical reaction at the two symmetric concentric electrode pairs. In order to reduce the form factor, an organic solvent is added to the aqueous electrolyte to lower the surface tension force. Limited by the liquid motion and reaction rate, the sensors are capable to measure tilt angle under static conditions only. From the tilt angle stepping experiments, the performance of the proposed tilt sensors is characterized and compared. The sensors’ response time is dominated by the electrochemical equilibrium arrival time. They can achieve a low discrimination threshold of 0.016° and a short time constant of 0584s within the ±85° measurement range with a power consumption of less than 0.1mW. Compared to previously reported MET tilt sensors with a parallel swirl electrode configuration, the signal-to-noise ratio and response time are improved significantly.","1558-1748","","10.1109/JSEN.2021.3102408","Research Grants Council of Hong Kong under the General Research Fund(grant numbers:16213019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505693","Amperometric sensors;microfabrication;molecular electronic transducer;tilt sensor","Sensors;Electrodes;Ions;Electrolytes;Sensor phenomena and characterization;Sensitivity;Accelerometers","","6","","37","IEEE","3 Aug 2021","","","IEEE","IEEE Journals"
"On System Identification of Space Manipulator Systems Including Their Fuel Sloshing Effects","O. . -O. Christidi-Loumpasefski; G. Rekleitis; E. Papadopoulos; F. Ankersen","School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; European Space Agency, ESA - ESTEC, Noordwijk, The Netherlands",IEEE Robotics and Automation Letters,"16 Mar 2023","2023","8","5","2446","2453","During maneuvers of a space manipulator system (SMS), thruster fuel in its spacecraft (S/C) results in sloshing effects which impact its dynamics and performance. In this work, sloshing effects are modeled by a 3D mass-spring-damper. A novel system identification scheme is developed, which identifies all parameters required for the reconstruction of system dynamics despite the unmeasurable sloshing states. This is achieved by two identification experiments. In Exp. 1, the SMS translates with locked joints allowing for the elimination of the unmeasurable sloshing states. As a result, all sloshing model parameters and the mass of the SMS base are identified. In Exp. 2, the SMS operates in free-floating mode, with the reaction wheels (RWs) and the manipulator(s) active. Based on kinematics and conservation of momentum, a method is developed which eliminates the unmeasurable sloshing states and identifies all the required SMS inertial parameters. The estimated parameters render the system dynamics fully identified and available to advanced model-based control algorithms. The effect of sloshing parameter errors is also discussed. The developed scheme is validated by simulation and experiments.","2377-3766","","10.1109/LRA.2023.3252341","European Space Agency; On-Board System Identification for Uncertainty Modelling & Characterization(grant numbers:4000126266/18/NL/GLC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058173","System identification;orbital robotics","Manipulators;Fuels;System identification;Space vehicles;Three-dimensional displays;Solid modeling;Computational modeling","","5","","31","IEEE","3 Mar 2023","","","IEEE","IEEE Journals"
"Dynamic modeling and tracking control of fuel filled space robotic system with flexible manipulators","Xinxin Yang; Xiong Luo; F. Sun; Fengge Wu; Huaping Liu","School of Information Engineering, Key Laboratory of Advanced Control of Iron and Steel Process (Ministry of Education), University of Science and Technology Beijing, Beijing, China; School of Information Engineering, Key Laboratory of Advanced Control of Iron and Steel Process (Ministry of Education), University of Science and Technology Beijing, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China",2010 3rd International Symposium on Systems and Control in Aeronautics and Astronautics,"11 Nov 2010","2010","","","1192","1197","In recent years, dynamics model and control of space robot system are the hot topics in the research field. In this paper, a new dynamics model and control strategy of space robotic system with a flexible manipulator and a liquid fuel tank are investigated. Based on Lagrange equation method, the dynamics model of the space robotic system coupling with liquid sloshing, flexibility vibration and base movement is derived. The elastic deflection of the flexible manipulator is described by the assumed mode method and equivalent mechanical model is adopted instead of liquid sloshing under the environment of low-gravity. The inverse dynamics control algorithm combined with PD control method is performed to solve the trajectory tracking problem. Some simulation results are given to verify the effectiveness of the proposed method.","","978-1-4244-6045-8","10.1109/ISSCAA.2010.5633387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5633387","space robotic system;dynamic modeling and tracking control;flexible manipulator;fuel-filled;equivalent mechanical model","Mathematical model;Aerospace electronics;Manipulator dynamics;Equations;Space vehicles","","1","","11","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
"Control of propellant slosh dynamics in observation spacecraft using Model Free Control and pressure sensors","C. Zhao; M. Fogel; L. Burlion","Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA",2022 IEEE Conference on Control Technology and Applications (CCTA),"8 Dec 2022","2022","","","191","196","The mitigation of fuel propellant sloshing onboard satellites or during space launches is of particular interest. Fuel sloshing can indeed significantly affect spacecraft motion by increasing the maneuver settling time and occasionally destabilizing them. This paper presents a novel, model-free attitude control approach that actively compensates for the sloshing disturbance. One of the main novelties consists of using pressure sensors inside the fuel tank to measure a quantity proportional to the sloshing torque. Then, using this measurement, an attitude controller can be designed not only to reject the sloshing torque but also to keep the fuel sloshing within acceptable conditions. Technically speaking, this is achieved by combining model-free control with an output to input saturation transformation (OIST) add-on.","2768-0770","978-1-6654-7338-5","10.1109/CCTA49430.2022.9965974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965974","","Pressure sensors;Space vehicles;Torque;Satellites;Limiting;Propulsion;Pressure measurement","","","","18","IEEE","8 Dec 2022","","","IEEE","IEEE Conferences"
"CFD simulation of vane-type tank on-orbit refilling","Hua Wang; Pingjun Si; Cunyan Cui; Wenxian Yan; Wei Li; Jian Sun","The Academy of Equipment, Beijing, China; The Academy of Equipment, Beijing, China; The Academy of Equipment, Beijing, China; The Academy of Equipment, Beijing, China; The Academy of Equipment, Beijing, China; The Academy of Equipment, Beijing, China","Proceedings 2013 International Conference on Mechatronic Sciences, Electric Engineering and Computer (MEC)","28 Aug 2014","2013","","","2843","2846","In the microgravity environment, the position of the ullage bubble is uncertain. It's hard to vent and control the center of mass for the receiver tank on mission of onor-bit refilling. The test tank of FARE II is taken as reference. using theory of the surface tension tank and the method of numerical simulation, the on-orbit refilling performance of the vane surface tension tank was studied. Calculation model is established. The VOF two-phase flow model is selected. Supposing hydrazine as working liquid, the process of vane tank on-orbit refilling is simulated. Simulation results show that the liquid is oriented effectively by the propellant management device. Vent and mass-center control in the process of refilling are realized. For various propellants, the critical flow rate is different. Wicking channel has an effect on the ullage position.","","978-1-4799-2565-0","10.1109/MEC.2013.6885515","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6885515","Surface Tension Tank;On-Orbit Refill;Vane;Propellant Management Device","Liquids;Surface tension;Blades;Propulsion;Vents;Space vehicles;Filling","","","","16","IEEE","28 Aug 2014","","","IEEE","IEEE Conferences"
